review_id,order_id,user_id,product_id,product_name,rating,content,reply,reply_time,sentiment,tag,created_at,status
REV001,DD20260428001,U001,P001,夏季新款碎花连衣裙,5,衣服很漂亮，面料很舒服，物流也很快！,感谢您的支持，欢迎下次光临！,2026-04-29 10:00:00,positive,质量好|款式新,2026-04-28 15:00:00,replied
REV002,DD20260428002,U002,P002,男士纯棉T恤 白色 XL,4,质量不错，就是尺码有点偏大。,亲爱的顾客您好，建议您下次购买前查看尺码表，感谢支持！,2026-04-29 11:00:00,neutral,尺码偏大,2026-04-28 16:00:00,replied
REV003,DD20260428003,U003,P003,运动休闲鞋 黑色 42码,2,鞋底太硬了，穿的不舒服，而且有异味。,非常抱歉给您带来不便，我们已记录反馈，会尽快改进。退款通道已开启，请查收。,2026-04-29 12:00:00,negative,质量问题|气味大,2026-04-28 17:00:00,replied
REV004,DD20260428004,U004,P004,韩版宽松牛仔裤,5,裤子版型很好，显瘦，很满意！,,,positive,版型好|显瘦,2026-04-29 09:00:00,pending
REV005,DD20260428005,U005,P005,女士手提包 黑色,4,包的质量不错，但是颜色有点暗。,感谢您的建议，我们会考虑推出更多颜色选择。,,neutral,颜色偏暗,2026-04-29 08:00:00,pending
REV006,DD20260428006,U006,P006,婴儿纯棉连体衣 0-6月,5,宝宝穿着很舒服，纯棉的就是好！,感谢您的支持，祝宝宝健康成长！,2026-04-29 14:00:00,positive,纯棉|舒服,2026-04-28 18:00:00,replied
REV007,DD20260428007,U007,P007,男士商务皮鞋 棕色 41码,1,皮鞋脱胶了，质量太差了，要求退货退款！,非常抱歉，已为您开启退货通道，退款会在3个工作日内到账。,2026-04-29 15:00:00,negative,质量问题|脱胶,2026-04-28 19:00:00,replied
REV008,DD20260428008,U008,P008,学生双肩背包 蓝色,4,背包容量很大，适合学生使用，总体满意。,,,positive,容量大|实用,2026-04-29 13:00:00,pending
REV009,DD20260428009,U009,P009,防晒衫 白色 均码,5,防晒效果很好，夏天必备！,感谢支持，欢迎下次光临！,2026-04-29 16:00:00,positive,防晒效果好,2026-04-28 20:00:00,replied
REV010,DD20260428010,U010,P010,真皮钱包 黑色,3,钱包还可以，但是价格有点贵。,感谢您的反馈，我们会努力提供更优质的产品。,,neutral,价格偏贵,2026-04-29 17:00:00,pending
