cart_id,user_id,product_id,product_name,quantity,unit_price,added_at,price_at_add,stock_at_add,status
CART001,U001,P001,夏季新款碎花连衣裙,2,129.00,2026-05-01 09:00:00,129.00,50,active
CART002,U001,P002,男士纯棉T恤 白色 XL,1,89.00,2026-05-01 09:05:00,89.00,100,active
CART003,U002,P003,运动休闲鞋 黑色 42码,1,299.00,2026-05-01 10:00:00,299.00,30,active
CART004,U003,P006,婴儿纯棉连体衣 0-6月,3,69.00,2026-05-01 11:00:00,69.00,200,active
CART005,U004,P005,女士手提包 黑色,1,399.00,2026-05-01 12:00:00,399.00,25,active
CART006,U005,P008,学生双肩背包 蓝色,2,129.00,2026-05-01 13:00:00,129.00,60,active
CART007,U006,P009,防晒衫 白色 均码,1,79.00,2026-05-01 14:00:00,79.00,80,active
CART008,U007,P004,韩版宽松牛仔裤,2,159.00,2026-05-01 15:00:00,159.00,45,active
CART009,U008,P007,男士商务皮鞋 棕色 41码,1,459.00,2026-05-01 16:00:00,459.00,20,active
CART010,U009,P010,真皮钱包 黑色,1,199.00,2026-05-01 17:00:00,199.00,35,active
CART011,U010,P002,男士纯棉T恤 白色 XL,2,89.00,2026-05-01 18:00:00,89.00,100,active
CART012,U001,P005,女士手提包 黑色,1,399.00,2026-05-01 08:30:00,399.00,25,checked_out
