order_id,user_id,order_amount,product_count,address_score,frequency_score,amount_score,risk_score,risk_level,risk_reasons,reviewed,reviewed_by,reviewed_at,action_taken
DD20260415001,U015,2980.00,15,0.2,0.8,0.9,0.85,high,"频繁退货|高额订单|地址异常",true,admin001,2026-04-15 10:00:00,人工审核通过
DD20260416002,U016,4500.00,20,0.1,0.9,0.95,0.92,high,"新账号|大批量|高风险商品",true,admin002,2026-04-16 11:00:00,延迟发货
DD20260417003,U017,899.00,3,0.8,0.3,0.5,0.45,medium,"收货地址与IP不符",false,,,自动拦截
DD20260418004,U018,1560.00,8,0.6,0.5,0.7,0.65,medium,"短时间内多次下单",false,,,标记待审核
DD20260419005,U019,320.00,1,0.9,0.2,0.3,0.35,low,正常订单,false,,,正常发货
DD20260420006,U020,2890.00,12,0.3,0.7,0.85,0.80,high,"退货率80%|可疑行为",true,admin001,2026-04-20 14:00:00,永久黑名单
DD20260421007,U021,520.00,2,0.7,0.4,0.4,0.40,low,正常订单,false,,,正常发货
DD20260422008,U022,1580.00,6,0.5,0.6,0.6,0.55,medium,"同一IP多账号",false,,,标记待审核
DD20260423009,U023,3200.00,18,0.2,0.8,0.9,0.88,high,"新用户|高风险|批量购买",true,admin003,2026-04-23 16:00:00,人工审核拒绝
DD20260424010,U024,890.00,4,0.8,0.3,0.5,0.42,low,正常订单,false,,,正常发货
