region_id,region_name,city_level,order_count,total_amount,avg_order_value,user_count,top_category,top_product,sales_rank,growth_rate,status
REG001,华东地区-上海,一线城市,1250,386000.00,308.80,680,服装,P001,1,15.2%,active
REG002,华北地区-北京,一线城市,1180,362000.00,306.78,650,服装,P001,2,12.8%,active
REG003,华南地区-广州,一线城市,980,295000.00,301.02,540,鞋类,P003,3,18.5%,active
REG004,西南地区-成都,新一线,920,268000.00,291.30,510,母婴,P006,4,22.3%,active
REG005,华中地区-武汉,新一线,880,252000.00,286.36,490,箱包,P005,5,16.7%,active
REG006,东北地区-沈阳,二线城市,720,198000.00,275.00,400,服装,P002,6,8.5%,active
REG007,西北地区-西安,新一线,680,185000.00,272.06,380,美妆,P005,7,25.1%,active
REG008,西南地区-重庆,直辖市,650,178000.00,273.85,365,服装,P004,8,19.3%,active
REG009,华东地区-杭州,新一线,620,175000.00,282.26,345,服装,P001,9,14.9%,active
REG010,华北地区-天津,新一线,580,158000.00,272.41,320,箱包,P008,11,11.2%,active
REG011,华南地区-深圳,一线城市,560,168000.00,300.00,310,数码,P010,10,13.6%,active
REG012,华中地区-长沙,新一线,520,142000.00,273.08,285,服装,P002,12,21.8%,active
