product_id,category,product_name,description,price,stock,popularity,tag1,tag2,tag3,reason
P001,连衣裙,夏季新款碎花连衣裙,清新碎花设计，适合约会出游，面料轻薄透气,129.00,200,950,碎花,夏季,约会,热门爆款
P002,T恤,男士纯棉T恤 白色 XL,100%纯棉面料，柔软舒适，简约百搭款,89.00,500,880,纯棉,百搭,透气,店铺爆款
P003,鞋类,运动休闲鞋 黑色 42码,时尚休闲设计，缓震鞋底，舒适透气,299.00,150,920,运动,休闲,时尚,好评如潮
P004,牛仔裤,韩版宽松牛仔裤,韩风设计，宽松版型，面料柔软,159.00,300,750,韩版,宽松,时尚,网红同款
P005,箱包,女士手提包 黑色,真皮质感，简约大气，多隔层设计,399.00,80,680,真皮,大容量,商务,精致优雅
P006,童装,婴儿纯棉连体衣 0-6月,A类纯棉，柔软亲肤，按扣设计方便穿脱,69.00,400,850,婴儿,纯棉,安全,妈妈首选
P007,皮鞋,男士商务皮鞋 棕色 41码,头层牛皮，经典款式，舒适内里,459.00,60,620,牛皮,商务,正装,品质之选
P008,背包,学生双肩背包 蓝色,大容量收纳减压设计，适合学生族,129.00,350,810,学生,大容量,减压,开学必备
P009,防晒衫,防晒衫 白色 均码,UPF50+防晒，轻薄透气，快速干燥,79.00,450,700,防晒,轻薄,夏季,夏日刚需
P010,钱包,真皮钱包 黑色,头层牛皮，多卡位设计，礼盒包装,199.00,120,580,牛皮,礼盒,便携,送人佳品
