product_id,product_name,category,brand,price,stock,size,color,description,features
P001,夏季新款碎花连衣裙,连衣裙,时尚坊,129.00,50,均码,多色可选,2026夏季新款 轻盈透气面料 优雅碎花设计,韩版风格 适合约会 通勤
P002,男士纯棉T恤 白色 XL,T恤,运动先锋,89.00,100,XL,白色,100%纯棉 舒适透气 基础百搭,运动休闲 日常穿着
P003,运动休闲鞋 黑色 42码,运动鞋,步云者,299.00,30,42码,黑色,轻便舒适 防滑耐磨,跑步训练 日常通勤
P004,韩版宽松牛仔裤,牛仔裤,牛仔之家,159.00,45,多码,蓝色,经典韩版 柔软舒适,百搭款式 适合各种场合
P005,女士手提包 黑色,包袋,丽人坊,399.00,25,均码,黑色,真皮材质 时尚简约,职场通勤 约会逛街
P006,婴儿纯棉连体衣 0-6月,童装,宝贝天使,69.00,200,0-6月,多色,100%纯棉 柔软亲肤,新生儿必备 四季可穿
P007,男士商务皮鞋 棕色 41码,皮鞋,绅浪,459.00,20,41码,棕色,头层牛皮 精致工艺,商务正装 婚礼宴会
P008,学生双肩背包 蓝色,箱包皮具,学府,129.00,60,均码,蓝色,大容量 多分层 防泼水,上学旅行 日常通勤
P009,防晒衫 白色 均码,防晒衣,夏之韵,79.00,80,均码,白色,防晒透气 冰丝面料,户外防晒 空调房
P010,真皮钱包 黑色,箱包皮具,名仕,199.00,35,均码,黑色,真皮材质 多卡位,商务送礼 自用经典
